Season,Week,Date,Opponent,Viewers
2023,4,2023-10-01,NYJ,27
2023,3,2023-09-24,CHI,24.32
2023,2,2023-09-17,JAX,16.51
2023,1,2023-09-07,DET,24.75
2022,18,2023-01-07,LV,17.76
2022,17,2023-01-01,DEN,NA
2022,16,2022-12-24,SEA,15.86
2022,15,2022-12-18,HOU,14.83
2022,14,2022-12-11,DEN,NA
2022,13,2022-12-04,CIN,23.41
2022,12,2022-11-27,LAR,23.35
2022,11,2022-11-20,LAC,17.89
2022,10,2022-11-13,JAX,14.46
2022,9,2022-11-06,TEN,17.69
2022,8,NA,NA,NA
2022,7,2022-10-23,SF,22.29
2022,6,2022-10-16,BUF,25.41
2022,5,2022-10-10,LV,15.79
2022,4,2022-10-02,TB,20.85
2022,3,2022-09-25,IND,14.68
2022,2,2022-09-15,LAC,13.03
2022,1,2022-09-11,ARIZ,16.62
2021,18,2022-01-08,LV,17.86
2021,17,2022-01-02,CIN,18.77
2021,16,2021-12-26,PIT,24.16
2021,15,2021-12-16,LAC,17.86
2021,14,2021-12-12,LV,12.16
2021,13,2021-12-05,DEN,17.51
2021,12,NA,NA,NA
2021,11,2021-11-21,DAL,28.06
2021,10,2021-11-14,LV,16.74
2021,9,2021-11-07,GB,24.37
2021,8,2021-11-01,NYG,13.92
2021,7,2021-10-24,TEN,15.15
2021,6,2021-10-17,WFT,12.41
2021,5,2021-10-10,BUF,17.52
2021,4,2021-10-03,PHI,18.28
2021,3,2021-09-26,LAC,14.33
2021,2,2021-09-19,BAL,19.81
2021,1,2021-09-12,CLE,19.54